Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,15p,C_0402_1005Metric,80.48,-93,180,top
C3,15p,C_0402_1005Metric,85.48,-93,0,top
C4,10u,C_0805_2012Metric,73.05,-83.5,180,top
C5,100n,C_0402_1005Metric,73.48,-86,180,top
C6,100n,C_0402_1005Metric,93.02,-83,0,top
C7,100n,C_0402_1005Metric,93.02,-84.5,0,top
C8,1u,C_0402_1005Metric,93.02,-81.5,0,top
C9,100n,C_0402_1005Metric,73.48,-87.5,180,top
C10,1u,C_0402_1005Metric,87.745,-76.5,180,top
C11,100n,C_0402_1005Metric,73.48,-89,180,top
C12,100n,C_0402_1005Metric,73.48,-90.5,180,top
C13,100n,C_0402_1005Metric,73.48,-92,180,top
C14,100n,C_0402_1005Metric,73.48,-93.5,180,top
C15,100n,C_0402_1005Metric,73.48,-95,180,top
C16,100n,C_0402_1005Metric,73.48,-96.5,180,top
C17,10u,C_0805_2012Metric,73.05,-78.5,180,top
C18,1n,C_0402_1005Metric,99,-97.02,-90,top
J1,OLED_Display,PinHeader_1x04_P2.54mm_Vertical,81.88,-115.5,90,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,97,-73.96,0,top
J5,USB_data,PinHeader_1x04_P2.54mm_Vertical,81.88,-54.5,90,top
R1,1k,R_0402_1005Metric,92.51,-74,0,top
R2,DNF,R_0402_1005Metric,92.5,-77.5,180,top
R3,27,R_0402_1005Metric,82.715,-76.5,0,top
R4,27,R_0402_1005Metric,85.215,-76.5,0,top
R5,1k,R_0402_1005Metric,82.99,-93,0,top
R6,10k,R_0402_1005Metric,106.51,-83.5,180,top
R7,2.41k,R_0402_1005Metric,106.49,-87.5,0,top
U1,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,92.35,-98.3,0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,84.6,-64.095,90,top
U3,RP2040,RP2040-QFN-56,82.5,-85,0,top
U4,ACS712xLCTR-20A,SOIC-8_3.9x4.9mm_P1.27mm,108.025,-98.405,270,top
U5,L7805CV,SIPAK-1EP_Horizontal_TabDown,102.428,-61.5,0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,82.4,-99.65,0,top
